,index,tm,v,p_v,time
0,0,1000,6240,520.0,100000
1,1,1001,1955,162.91666666666666,100100
2,2,1002,2807,233.91666666666666,100200
3,3,1003,226,18.833333333333332,100300
4,4,1004,342,28.5,100400
5,5,1005,446,37.166666666666664,100500
6,6,1006,381,31.75,100600
7,7,1007,388,32.333333333333336,100700
8,8,1008,631,52.583333333333336,100800
9,9,1009,43,3.5833333333333335,100900
10,10,1010,392,32.666666666666664,101000
11,11,1011,592,49.333333333333336,101100
12,12,1012,550,45.833333333333336,101200
13,13,1013,3096,258.0,101300
14,14,1014,1045,87.08333333333333,101400
15,15,1015,536,44.666666666666664,101500
16,16,1016,1403,116.91666666666667,101600
17,17,1017,186,15.5,101700
18,18,1018,335,27.916666666666668,101800
19,19,1019,350,29.166666666666668,101900
20,20,1020,842,70.16666666666667,102000
21,21,1021,349,29.083333333333332,102100
22,22,1022,226,18.833333333333332,102200
23,23,1023,328,27.333333333333332,102300
24,24,1024,1160,96.66666666666667,102400
25,25,1025,345,28.75,102500
26,26,1026,227,18.916666666666668,102600
27,27,1027,362,30.166666666666668,102700
28,28,1028,499,41.583333333333336,102800
29,29,1029,793,66.08333333333333,102900
30,30,1030,621,51.75,103000
31,31,1031,303,25.25,103100
32,32,1032,1176,98.0,103200
33,33,1033,107,8.916666666666666,103300
34,34,1034,153,12.75,103400
35,35,1035,288,24.0,103500
36,36,1036,255,21.25,103600
37,37,1037,503,41.916666666666664,103700
38,38,1038,205,17.083333333333332,103800
39,39,1039,1864,155.33333333333334,103900
40,40,1040,970,80.83333333333333,104000
41,41,1041,1074,89.5,104100
42,42,1042,493,41.083333333333336,104200
43,43,1043,163,13.583333333333334,104300
44,44,1044,246,20.5,104400
45,45,1045,1424,118.66666666666667,104500
46,46,1046,291,24.25,104600
47,47,1047,55,4.583333333333333,104700
48,48,1048,53,4.416666666666667,104800
49,49,1049,202,16.833333333333332,104900
50,50,1050,630,52.5,105000
51,51,1051,185,15.416666666666666,105100
52,52,1052,119,9.916666666666666,105200
53,53,1053,97,8.083333333333334,105300
54,54,1054,385,32.083333333333336,105400
55,55,1055,978,81.5,105500
56,56,1056,783,65.25,105600
57,57,1057,115,9.583333333333334,105700
58,58,1058,1265,105.41666666666667,105800
59,59,1059,34,2.8333333333333335,105900
60,60,1100,199,16.583333333333332,110000
61,61,1101,171,14.25,110100
62,62,1102,1014,84.5,110200
63,63,1103,390,32.5,110300
64,64,1104,142,11.833333333333334,110400
65,65,1105,1089,90.75,110500
66,66,1106,120,10.0,110600
67,67,1107,883,73.58333333333333,110700
68,68,1108,4167,347.25,110800
69,69,1109,819,68.25,110900
70,70,1110,7603,633.5833333333334,111000
71,71,1111,1095,91.25,111100
72,72,1112,24,2.0,111200
73,73,1113,406,33.833333333333336,111300
74,74,1114,88,7.333333333333333,111400
75,75,1115,543,45.25,111500
76,76,1116,355,29.583333333333332,111600
77,77,1117,356,29.666666666666668,111700
78,78,1118,160,13.333333333333334,111800
79,79,1119,634,52.833333333333336,111900
80,80,1120,454,37.833333333333336,112000
81,81,1121,1154,96.16666666666667,112100
82,82,1122,90,7.5,112200
83,83,1123,1511,125.91666666666667,112300
84,84,1124,4414,367.8333333333333,112400
85,85,1125,387,32.25,112500
86,86,1126,19143,1595.25,112600
87,87,1127,703,58.583333333333336,112700
88,88,1128,1043,86.91666666666667,112800
89,89,1129,17,1.4166666666666667,112900
90,90,1300,2810,234.16666666666666,130000
91,91,1301,43,3.5833333333333335,130100
92,92,1302,172,14.333333333333334,130200
93,93,1303,2469,205.75,130300
94,94,1304,484,40.333333333333336,130400
95,95,1305,1802,150.16666666666666,130500
96,96,1306,519,43.25,130600
97,97,1307,1527,127.25,130700
98,98,1308,99,8.25,130800
99,99,1309,358,29.833333333333332,130900
100,100,1310,1260,105.0,131000
101,101,1311,280,23.333333333333332,131100
102,102,1312,140,11.666666666666666,131200
103,103,1313,591,49.25,131300
104,104,1314,1075,89.58333333333333,131400
105,105,1315,489,40.75,131500
106,106,1316,482,40.166666666666664,131600
107,107,1317,749,62.416666666666664,131700
108,108,1318,273,22.75,131800
109,109,1319,724,60.333333333333336,131900
110,110,1320,347,28.916666666666668,132000
111,111,1321,350,29.166666666666668,132100
112,112,1322,624,52.0,132200
113,113,1323,481,40.083333333333336,132300
114,114,1324,452,37.666666666666664,132400
115,115,1325,767,63.916666666666664,132500
116,116,1326,410,34.166666666666664,132600
117,117,1327,416,34.666666666666664,132700
118,118,1328,352,29.333333333333332,132800
119,119,1329,707,58.916666666666664,132900
120,120,1330,1157,96.41666666666667,133000
121,121,1331,515,42.916666666666664,133100
122,122,1332,37,3.0833333333333335,133200
123,123,1333,266,22.166666666666668,133300
124,124,1334,444,37.0,133400
125,125,1335,2062,171.83333333333334,133500
126,126,1336,488,40.666666666666664,133600
127,127,1337,175,14.583333333333334,133700
128,128,1338,243,20.25,133800
129,129,1339,860,71.66666666666667,133900
130,130,1340,58,4.833333333333333,134000
131,131,1341,164,13.666666666666666,134100
132,132,1342,8494,707.8333333333334,134200
133,133,1343,14635,1219.5833333333333,134300
134,134,1344,1329,110.75,134400
135,135,1345,993,82.75,134500
136,136,1346,2038,169.83333333333334,134600
137,137,1347,1339,111.58333333333333,134700
138,138,1348,1505,125.41666666666667,134800
139,139,1349,398,33.166666666666664,134900
140,140,1350,42,3.5,135000
141,141,1351,1405,117.08333333333333,135100
142,142,1352,1166,97.16666666666667,135200
143,143,1353,526,43.833333333333336,135300
144,144,1354,2184,182.0,135400
145,145,1355,17477,1456.4166666666667,135500
146,146,1356,2009,167.41666666666666,135600
147,147,1357,3054,254.5,135700
148,148,1358,1018,84.83333333333333,135800
149,149,1359,12994,1082.8333333333333,135900
150,150,1400,5314,442.8333333333333,140000
151,151,1401,2660,221.66666666666666,140100
152,152,1402,4401,366.75,140200
153,153,1403,3490,290.8333333333333,140300
154,154,1404,799,66.58333333333333,140400
155,155,1405,377,31.416666666666668,140500
156,156,1406,488,40.666666666666664,140600
157,157,1407,472,39.333333333333336,140700
158,158,1408,598,49.833333333333336,140800
159,159,1409,1014,84.5,140900
160,160,1410,1157,96.41666666666667,141000
161,161,1411,275,22.916666666666668,141100
162,162,1412,121,10.083333333333334,141200
163,163,1413,3192,266.0,141300
164,164,1414,86,7.166666666666667,141400
165,165,1415,1481,123.41666666666667,141500
166,166,1416,983,81.91666666666667,141600
167,167,1417,7330,610.8333333333334,141700
168,168,1418,1766,147.16666666666666,141800
169,169,1419,546,45.5,141900
170,170,1420,958,79.83333333333333,142000
171,171,1421,2565,213.75,142100
172,172,1422,773,64.41666666666667,142200
173,173,1423,6136,511.3333333333333,142300
174,174,1424,849,70.75,142400
175,175,1425,1177,98.08333333333333,142500
176,176,1426,1820,151.66666666666666,142600
177,177,1427,2328,194.0,142700
178,178,1428,561,46.75,142800
179,179,1429,2212,184.33333333333334,142900
180,180,1430,2157,179.75,143000
181,181,1431,1331,110.91666666666667,143100
182,182,1432,222,18.5,143200
183,183,1433,7027,585.5833333333334,143300
184,184,1434,2789,232.41666666666666,143400
185,185,1435,2653,221.08333333333334,143500
186,186,1436,317,26.416666666666668,143600
187,187,1437,448,37.333333333333336,143700
188,188,1438,872,72.66666666666667,143800
189,189,1439,292,24.333333333333332,143900
190,190,1440,1548,129.0,144000
191,191,1441,823,68.58333333333333,144100
192,192,1442,572,47.666666666666664,144200
193,193,1443,774,64.5,144300
194,194,1444,1207,100.58333333333333,144400
195,195,1445,468,39.0,144500
196,196,1446,793,66.08333333333333,144600
197,197,1447,228,19.0,144700
198,198,1448,190,15.833333333333334,144800
199,199,1449,1588,132.33333333333334,144900
200,200,1450,1334,111.16666666666667,145000
201,201,1451,1346,112.16666666666667,145100
202,202,1452,1592,132.66666666666666,145200
203,203,1453,1604,133.66666666666666,145300
204,204,1454,7786,648.8333333333334,145400
205,205,1455,3122,260.1666666666667,145500
206,206,1456,2205,183.75,145600
207,207,1457,20,1.6666666666666667,145700
208,208,1500,3136,261.3333333333333,150000
209,209,915,61065,5088.75,91500
210,210,916,48436,4036.3333333333335,91600
211,211,917,39565,3297.0833333333335,91700
212,212,925,5951,495.9166666666667,92500
213,213,930,5452,454.3333333333333,93000
214,214,931,1206,100.5,93100
215,215,932,7314,609.5,93200
216,216,933,12402,1033.5,93300
217,217,934,12999,1083.25,93400
218,218,935,1593,132.75,93500
219,219,936,5616,468.0,93600
220,220,937,1735,144.58333333333334,93700
221,221,938,812,67.66666666666667,93800
222,222,939,636,53.0,93900
223,223,940,419,34.916666666666664,94000
224,224,941,542,45.166666666666664,94100
225,225,942,1729,144.08333333333334,94200
226,226,943,838,69.83333333333333,94300
227,227,944,2286,190.5,94400
228,228,945,3812,317.6666666666667,94500
229,229,946,11475,956.25,94600
230,230,947,1845,153.75,94700
231,231,948,2543,211.91666666666666,94800
232,232,949,8452,704.3333333333334,94900
233,233,950,9314,776.1666666666666,95000
234,234,951,890,74.16666666666667,95100
235,235,952,71,5.916666666666667,95200
236,236,953,1295,107.91666666666667,95300
237,237,954,2993,249.41666666666666,95400
238,238,955,993,82.75,95500
239,239,956,209,17.416666666666668,95600
240,240,957,281,23.416666666666668,95700
241,241,958,93,7.75,95800
242,242,959,95,7.916666666666667,95900
